TC,make,enginePerformance,dateOfManufacture,numberOfSeats,fuelType,listPrice,licensePlateNumber,annualMileage,redirect
",34",valor válido,2000,+50 anos,- please select -,- please select -,100001,abcde,10000,"false,"
",35",- please select -,-1,null,valor válido,valor válido,100000,null,100,"false,"
",36",- please select -,2001,null,- please select -,- please select -,0,abcde,10000,"false,"
",37",- please select -,153.245.165,-50 anos,valor válido,- please select -,499,abcde,100000,"false,"
",38",- please select -,teste,dia anterior,- please select -,valor válido,100001,null,99,"false,"
",39",- please select -,null,hoje,valor válido,- please select -,-500,abcde,100001,"false,"
",40",- please select -,null,amanhã,- please select -,valor válido,100.425.111,abcde,0,"false,"
",41",- please select -,1,+50 anos,- please select -,- please select -,teste,abcde1,-1000,"false,"
",42",- please select -,2000,ddMMaaaa,valor válido,valor válido,null,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,"false,"
",43",- please select -,0,MM/dd/aaaa,- please select -,- please select -,500,ab!@/,null,"false,"
",44",valor válido,2001,-50 anos,- please select -,- please select -,100.425.111,abcde1,null,"false,"
",45",valor válido,153.245.165,dia anterior,valor válido,valor válido,teste,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,"false,"
",46",valor válido,teste,hoje,- please select -,- please select -,null,ab!@/,100,"false,"
",47",valor válido,null,amanhã,- please select -,valor válido,500,null,10000,"false,"
",48",valor válido,null,+50 anos,valor válido,- please select -,100000,abcde,100000,"false,"
",49",valor válido,1,ddMMaaaa,- please select -,valor válido,0,abcde,99,"false,"
",50",valor válido,2000,MM/dd/aaaa,valor válido,- please select -,499,null,100001,"false,"
",51",valor válido,0,null,- please select -,- please select -,100001,abcde,0,"false,"
",52",valor válido,-1,null,valor válido,valor válido,-500,abcde,-1000,"false,"
",53",- please select -,153.245.165,hoje,- please select -,- please select -,0,null,0,"false,"
",54",- please select -,teste,amanhã,valor válido,valor válido,499,abcde,-1000,"false,"
",55",- please select -,null,+50 anos,- please select -,- please select -,100001,abcde,null,"false,"
",56",- please select -,null,ddMMaaaa,valor válido,- please select -,-500,abcde1,null,"false,"
",57",- please select -,1,MM/dd/aaaa,- please select -,valor válido,100.425.111,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,100,"false,"
",58",- please select -,2000,null,valor válido,- please select -,teste,ab!@/,10000,"false,"
",59",- please select -,0,null,- please select -,valor válido,null,null,100000,"false,"
",60",- please select -,-1,-50 anos,valor válido,- please select -,500,abcde,99,"false,"
",61",- please select -,2001,dia anterior,- please select -,valor válido,100000,abcde,100001,"false,"
",62",valor válido,teste,+50 anos,valor válido,valor válido,teste,null,99,"false,"
",63",valor válido,null,ddMMaaaa,- please select -,- please select -,null,abcde,100001,"false,"
",64",valor válido,null,MM/dd/aaaa,valor válido,valor válido,500,abcde,0,"false,"
",65",valor válido,1,null,- please select -,- please select -,100000,null,-1000,"false,"
",66",valor válido,2000,null,valor válido,valor válido,0,abcde,null,"false,"
",67",valor válido,0,-50 anos,- please select -,- please select -,499,abcde,null,"false,"
",68",valor válido,-1,dia anterior,- please select -,valor válido,100001,abcde1,100,"false,"
",69",valor válido,2001,hoje,valor válido,- please select -,-500,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,10000,"false,"
",70",valor válido,153.245.165,amanhã,- please select -,- please select -,100.425.111,ab!@/,100000,"false,"
",71",- please select -,null,MM/dd/aaaa,- please select -,valor válido,499,abcde1,10000,"false,"
",72",- please select -,null,null,valor válido,- please select -,100001,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,100000,"false,"
",73",- please select -,1,null,- please select -,valor válido,-500,ab!@/,99,"false,"
",74",- please select -,2000,-50 anos,- please select -,- please select -,100.425.111,null,100001,"false,"
",75",- please select -,0,dia anterior,valor válido,- please select -,teste,abcde,0,"false,"
",76",- please select -,-1,hoje,- please select -,valor válido,null,abcde,-1000,"false,"
",77",- please select -,2001,amanhã,valor válido,- please select -,500,null,null,"false,"
",78",- please select -,153.245.165,+50 anos,- please select -,valor válido,100000,abcde,null,"false,"
",79",- please select -,teste,ddMMaaaa,valor válido,- please select -,0,abcde,100,"false,"
